week,linear_tv_spend,meta_social_spend,youtube_spend,ctv_spend,search_brand_spend,amazon_retail_spend,revenue,baseline_true,category_demand,holiday_count,linear_tv_contribution_true,meta_social_contribution_true,youtube_contribution_true,ctv_contribution_true,search_brand_contribution_true,amazon_retail_contribution_true
2021-01-04,0.0,60237.26637799712,126972.21340081107,30989.69880588337,23788.665689570462,23297.816853454297,3165277.9605058036,2309589.8118664576,0.07670327056249339,0,0.0,200844.09479421962,302969.9541026989,32773.62472537226,0.0,123735.9763357699
2021-01-11,0.0,0.0,25133.666460267745,24671.22144269909,18408.25157612743,11953.664480051391,1922494.4575498921,2248586.5100376485,-0.7626985354048728,0,0.0,44495.78038466479,165699.93753468804,34250.35381848737,0.0,64643.71598325596
2021-01-18,0.0,81644.98006256118,0.0,17338.421004129803,14806.144593266008,33299.28606508733,3668991.4050333803,2418387.698363623,0.2130601181894954,1,0.0,324354.7788796208,173459.0171737675,58601.44764918724,0.0,191972.6199359663
2021-01-25,95372.57831459318,68797.54694709308,60813.36475424181,44197.530944236925,27464.861060835043,14670.970494657635,3611281.558478881,2365263.859733633,-0.24681112469832017,0,394691.7666900014,296264.7120794241,243885.28317091212,107416.13663052415,0.0,123711.5772003969
2021-02-01,0.0,0.0,41397.822681537764,0.0,18157.033361284735,35183.51897788783,3130142.2269849754,2499913.274513694,0.7245340356006079,0,299007.76875331043,126938.0543458708,225886.29635014303,39031.19779760459,0.0,156262.0129824681
2021-02-08,0.0,26379.27607802369,69102.44084998063,0.0,18466.98208734966,48303.45324789337,2586109.002675735,2222860.238611948,-1.0578387834949137,0,187719.72852756403,109406.88363510267,216115.02890476777,12159.4538323542,0.0,149155.5506631736
2021-02-15,0.0,0.0,26036.582545343234,41322.60802992455,21709.407717780017,0.0,2222785.4344209773,2281446.9282121877,-0.33567697208930336,1,121430.23417686476,30800.265068497723,171991.62784638663,54373.30039182179,0.0,60246.802342777235
2021-02-22,99283.98770907977,43994.99188022853,0.0,97652.37928010951,20341.779004146996,15075.280367503086,3764381.955647805,2351116.5471936143,0.551959285270122,0,465070.56141387334,176918.16945562194,137078.7456246781,280084.6647196426,0.0,108658.66995438229
2021-03-01,0.0,0.0,49011.37943680553,35416.44284805653,24662.835001872885,14832.61855524063,3144009.411487191,2332374.8820370706,0.8849789533342233,0,344730.8355689025,49303.8328919857,202162.5936184249,191531.4623755433,0.0,97664.38263906704
2021-03-08,158211.90440238832,33168.57399136316,34212.70757848777,25103.17220859336,40663.80188057184,0.0,3016790.739436527,2411575.8564440627,1.9685563273623141,0,440104.3571090122,115446.26970212377,188467.69469876034,129431.97495615052,0.0,20927.605556224622
2021-03-15,164312.8002945049,83701.3957827162,25581.549247264407,42363.73199252155,33115.5347803207,16995.570934109197,2169388.027782891,2052622.8163099037,-0.15083443649470418,0,309827.19071252435,167716.40154317077,114338.2530689307,94608.41259300163,0.0,58248.526568708105
2021-03-22,68615.8249865392,79438.921541507,29744.58701633912,35238.84372119519,32539.42161345216,0.0,2953977.2817534963,1962394.0826037715,-0.31554301468439516,0,425537.54696785467,255783.26772956975,158669.351628519,121988.92352898052,0.0,17834.716373959276
