week,search_brand_spend,search_impression_share,search_is_censored,youtube_spend,meta_social_spend,meta_impressions,meta_ctr,meta_reach_daily_sum,ctv_spend,ctv_impressions,ctv_reach,amazon_retail_spend,amazon_impressions,amazon_sales14d,linear_tv_spend,tv_grps,revenue,settled
2021-01-04,23788.66569,0.9046,False,126972.213401,60237.26,3089090.0,0.015240410606359802,2310497.0,30989.7,968428.0,291220.0,23297.81,2740920.0,76782.62,0.0,,3165277.9605058036,True
2021-01-11,18408.251576,0.5292,False,25133.66646,0.0,,,,24671.22,770976.0,278876.0,11953.669999999998,1406313.0,45004.770000000004,0.0,,1922494.457549892,True
2021-01-18,14806.144593,0.8102,False,0.0,81644.98,4186923.0,0.013263200684607766,3144594.0,17338.42,541826.0,133975.0,33299.28,3917563.0,107184.47,0.0,,3668991.40503338,True
2021-01-25,27464.861061,0.6309,False,60813.364754,68797.55,3528079.0,0.012918644962315186,2726429.0,44197.53,1381173.0,394934.0,14670.97,1725997.0,52304.22,95372.58,22.7,3611281.558478881,True
2021-02-01,18157.033361,,True,41397.822682,0.0,,,,0.0,,,35183.53,4139236.0,123860.19,0.0,,3130142.2269849754,True
2021-02-08,18466.982087,0.5359,False,69102.44085,26379.269999999997,1352784.0,0.012083969059362027,1009026.0,0.0,,,48303.450000000004,5682760.0,181935.99,0.0,,2586109.002675735,True
2021-02-15,21709.407718,0.7449,False,26036.582545,0.0,,,,41322.61,1291332.0,417010.0,0.0,,,0.0,,2222785.4344209773,True
2021-02-22,20341.779004,0.5514,False,0.0,43994.99,2256153.0,0.015278662395679725,1767664.0,97652.38,3051637.0,681755.0,15075.28,1773562.0,49360.81,99283.99,23.6,3764381.955647805,True
2021-03-01,24662.835002,0.8106,False,49011.379437,0.0,,,,35416.44,1106764.0,305360.0,14832.619999999999,1745014.0,49753.27,0.0,,3144009.411487191,True
2021-03-08,40663.801881,0.7016,False,34212.707578,33168.58,1700952.0,0.01461005366406577,1306459.0,25103.17,784474.0,268247.0,0.0,,,158211.9,37.7,3016790.739436527,True
2021-03-15,33115.53478,0.8232,False,25581.549247,83701.39,4292380.0,0.014452355103695386,3460197.0,42363.73,1323867.0,326982.0,16995.57,1999479.0,55969.72,164312.8,39.1,2169388.027782891,True
